site,tree,canopy_position,canopy_position2,campaign,sampling_date,d15N_stem_phloem,d13C_stem_phloem,,,,,,,,,,,,
MSA,MSA1,sun,sun,spring23,20230531,1.2894495,NA,,,,,,,,,,,,
MSA,MSA1,shade,shade,spring23,20230531,0.7618778,NA,,,,,,,,,,,,
MSA,MSA1,shade_low,shade,spring23,20230531,1.0979679,NA,,,,,,,,,,,,
MSA,MSA2,sun,sun,spring23,20230530,-1.6296476,NA,,,,,,,,,,,,
MSA,MSA2,shade,shade,spring23,20230530,-1.1549328,NA,,,,,,,,,,,,
MSA,MSA2,shade_low,shade,spring23,20230531,-1.258652,NA,,,,,,,,,,,,
MSA,MSA3,sun,sun,spring23,20230530,-2.4444417,NA,,,,,,,,,,,,
MSA,MSA3,shade,shade,spring23,20230531,0.1106409,-30.1451948,,,,,,,,,,,,
MSA,MSA3,shade_low,shade,spring23,20230531,-1.7144181,-32.5093544,,,,,,,,,,,,
MSA,MSA4,sun,sun,spring23,20230601,-2.7825264,NA,,,,,,,,,,,,
MSA,MSA4,shade,shade,spring23,20230601,-1.867005,-28.8567428,,,,,,,,,,,,
MSA,MSA4,shade_low,shade,spring23,20230601,-0.9614566,NA,,,,,,,,,,,,
MSA,MSA5,sun,sun,spring23,20230531,-4.5357798,NA,,,,,,,,,,,,
MSA,MSA5,shade,shade,spring23,20230531,-0.8956348,NA,,,,,,,,,,,,
MSA,MSA5,shade_low,shade,spring23,20230531,-0.4927256,-27.816992,,,,,,,,,,,,
MSA,MSA6,sun,sun,spring23,20230601,-4.0550812,-26.52854,,,,,,,,,,,,
MSA,MSA6,shade,shade,spring23,20230601,-1.8719915,-26.1509936,,,,,,,,,,,,
MSA,MSA6,shade_low,shade,spring23,20230601,-2.884251,-26.6743648,,,,,,,,,,,,
ART,ART1,shade_low,shade,spring23,20230607,-1.8939321,-32.9887784,,,,,,,,,,,,
ART,ART2,shade_low,shade,spring23,20230607,-1.8729888,-31.2958124,,,,,,,,,,,,
ART,ART3,shade_low,shade,spring23,20230607,-2.4603985,-32.6701612,,,,,,,,,,,,
ART,ART4,shade_low,shade,spring23,20230607,-2.5172446,-31.6663672,,,,,,,,,,,,
ART,ART5,shade_low,shade,spring23,20230607,-4.3722226,-32.7590544,,,,,,,,,,,,
BER,BER1,shade_low,shade,spring23,20230608,-1.9916675,-32.4044804,,,,,,,,,,,,
BER,BER2,shade_low,shade,spring23,20230608,-2.2350087,-30.2850268,,,,,,,,,,,,
BER,BER3,shade_low,shade,spring23,20230608,-2.9969459,-33.1326056,,,,,,,,,,,,
BER,BER4,shade_low,shade,spring23,20230608,-3.2412844,-31.652384,,,,,,,,,,,,
BER,BER5,shade_low,shade,spring23,20230608,-1.0412406,-33.030728,,,,,,,,,,,,
BER,BER6,shade_low,shade,spring23,20230608,-3.9503647,-32.7470688,,,,,,,,,,,,
ITU,ITU1,shade_low,shade,spring23,20230606,-2.6558693,-32.1328068,,,,,,,,,,,,
ITU,ITU2,shade_low,shade,spring23,20230606,-3.173468,-32.7330856,,,,,,,,,,,,
ITU,ITU3,shade_low,shade,spring23,20230606,-4.7053208,-33.3483464,,,,,,,,,,,,
ITU,ITU4,shade_low,shade,spring23,20230606,-4.3642442,-32.9588144,,,,,,,,,,,,
ITU,ITU5,shade_low,shade,spring23,20230606,-1.6505909,-31.442636,,,,,,,,,,,,
ITU,ITU6,shade_low,shade,spring23,20230606,-1.6625585,-31.7652484,,,,,,,,,,,,
DIU,DIU1,shade_low,shade,spring23,20230615,2.4433256,-31.7203024,,,,,,,,,,,,
DIU,DIU2,shade_low,shade,spring23,20230615,-0.0160162,-31.0141508,,,,,,,,,,,,
DIU,DIU3,shade_low,shade,spring23,20230615,-3.8685861,-32.011952,,,,,,,,,,,,
DIU,DIU4,shade_low,shade,spring23,20230615,-2.6309368,-31.167966,,,,,,,,,,,,
DIU,DIU5,shade_low,shade,spring23,20230615,-0.2892764,-32.591256,,,,,,,,,,,,
DIU,DIU6,shade_low,shade,spring23,20230615,-2.5022851,-31.1399996,,,,,,,,,,,,
MSA,MSA1,sun,sun,summer23,20230823,-1.2626412,-26.9849916,,,,,,,,,,,,
MSA,MSA1,shade,shade,summer23,20230823,-0.3690604,-27.7390856,,,,,,,,,,,,
MSA,MSA1,shade_low,shade,summer23,20230823,-1.6356314,-28.0876668,,,,,,,,,,,,
MSA,MSA2,sun,sun,summer23,20230822,-2.9959486,-27.4064852,,,,,,,,,,,,
MSA,MSA2,shade,shade,summer23,20230822,-3.7888021,-29.2642532,,,,,,,,,,,,
MSA,MSA2,shade_low,shade,summer23,20230822,-3.1176192,-27.62722,,,,,,,,,,,,
MSA,MSA3,sun,sun,summer23,20230823,0.107649,-27.0688908,,,,,,,,,,,,
MSA,MSA3,shade,shade,summer23,20230823,-1.1319949,-28.5700872,,,,,,,,,,,,
MSA,MSA3,shade_low,shade,summer23,20230823,-1.9487836,-30.2920184,,,,,,,,,,,,
MSA,MSA5,sun,sun,summer23,20230824,-2.3347387,-27.4364492,,,,,,,,,,,,
MSA,MSA5,shade,shade,summer23,20230824,-1.7842291,-27.6481948,,,,,,,,,,,,
MSA,MSA5,shade_low,shade,summer23,20230824,-0.7978994,-29.7416796,,,,,,,,,,,,
MSA,MSA6,sun,sun,summer23,20230824,-3.7040316,-27.8349704,,,,,,,,,,,,
MSA,MSA6,shade,shade,summer23,20230824,-2.7426344,-26.513558,,,,,,,,,,,,
MSA,MSA6,shade_low,shade,summer23,20230824,-1.0482217,-28.3793164,,,,,,,,,,,,
MSA,MSA1,sun,sun,summer23,20230823,0.1724735,-27.482394,,,,,,,,,,,,
MSA,MSA1,sun,sun,summer23,20230823,-2.5701015,-28.3533476,,,,,,,,,,,,
MSA,MSA1,shade_low,shade,summer23,20230823,-1.3703496,-31.6643696,,,,,,,,,,,,
MSA,MSA1,shade_low,shade,summer23,20230823,-0.022,-30.12422,,,,,,,,,,,,
MSA,MSA2,sun,sun,summer23,20230822,-1.9437971,-25.5966596,,,,,,,,,,,,
MSA,MSA2,shade,shade,summer23,20230822,-2.71471,-28.6639744,,,,,,,,,,,,
MSA,MSA2,shade_low,shade,summer23,20230822,-3.7239776,-29.35015,,,,,,,,,,,,
MSA,MSA2,shade_low,shade,summer23,20230822,-1.1549328,-28.1875468,,,,,,,,,,,,
MSA,MSA3,shade_low,shade,summer23,20230823,-1.4660904,-31.762252,,,,,,,,,,,,
MSA,MSA3,shade_low,shade,summer23,20230823,-2.4923121,-31.877114,,,,,,,,,,,,
MSA,MSA1,shade_low,shade,summer23,20230904,-0.9764161,-29.0365268,,,,,,,,,,,,
MSA,MSA2,shade_low,shade,summer23,20230904,-1.7114262,-29.6917396,,,,,,,,,,,,
MSA,MSA3,shade_low,shade,summer23,20230904,-1.5837718,-30.4018864,,,,,,,,,,,,
MSA,MSA4,shade_low,shade,summer23,20230904,-0.9375214,-31.612432,,,,,,,,,,,,
MSA,MSA5,shade_low,shade,summer23,20230904,-2.0285676,-31.342756,,,,,,,,,,,,
MSA,MSA6,shade_low,shade,summer23,20230904,-2.5182419,-30.2500688,,,,,,,,,,,,
ART,ART1,shade_low,shade,summer23,20230831,-3.7229803,-33.5960488,,,,,,,,,,,,
ART,ART2,shade_low,shade,summer23,20230831,-2.1602112,-31.3067992,,,,,,,,,,,,
ART,ART3,shade_low,shade,summer23,20230831,-1.7652804,-32.4234576,,,,,,,,,,,,
ART,ART4,shade_low,shade,summer23,20230831,-2.4913148,-32.930848,,,,,,,,,,,,
ART,ART6,shade_low,shade,summer23,20230831,-0.8557428,-32.6441924,,,,,,,,,,,,
BER,BER1,shade_low,shade,summer23,20230830,-1.946789,-33.1016428,,,,,,,,,,,,
BER,BER2,shade_low,shade,summer23,20230830,-0.7240992,-31.1549816,,,,,,,,,,,,
BER,BER3,shade_low,shade,summer23,20230830,-1.7961967,-31.8311692,,,,,,,,,,,,
